team_id,abbreviation,stadion_name,capacity,start_year,end_year
1610612737,ATL,Omni Coliseum,16181,1972,1997
1610612737,ATL,Georgia Dome,71228,1997,1999
1610612737,ATL,State Farm Arena,16600,1999,2024
1610612738,BOS,TD Garden,19156,1995,2024
1610612739,CLE,Rocket Mortgage FieldHouse,19432,1994,2024
1610612740,NOP,Smoothie King Center,16867,2002,2024
1610612740,NOP,Paycom Center,18203,2005,2007
1610612740,NOP,Smoothie King Center,16867,2007,2024
1610612741,CHI,United Center,20917,1994,2024
1610612742,DAL,Reunion Arena,17772,1981,2001
1610612742,DAL,American Airlines Center,19200,2001,2024
1610612743,DEN,McNichols Sports Arena,17171,1975,1999
1610612743,DEN,Ball Arena,19520,1999,2024
1610612744,GSW,Oakland Arena,19596,1972,1997
1610612744,GSW,SAP Center,18543,1997,1998
1610612744,GSW,Oakland Arena,19596,1998,2020
1610612744,GSW,Chase Center,18064,2020,2024
1610612745,HOU,Compaq Center,15676,1976,2004
1610612745,HOU,Toyota Center,18055,2004,2024
1610612754,IND,Market Square Arena,16530,1977,1999
1610612754,IND,Gainbridge Fieldhouse,17923,1999,2024
1610612746,LAC,Los Angeles Memorial Sports Arena,16161,1985,1999
1610612746,LAC,Staples Center,19068,1999,2024
1610612747,LAL,Great Western Forum,17500,1968,1999
1610612747,LAL,Staples Center,18997,1999,2024
1610612763,VAN,Rogers Arena,18422,1996,2001
1610612763,MEM,Pyramid Arena,20142,2001,2004
1610612763,MEM,FedExForum,18119,2004,2024
1610612748,MIA,Miami Arena,17000,1988,1999
1610612748,MIA,FTX Arena,19600,1999,2024
1610612749,MIL,BMO Harris Bradley Center,18633,1986,2018
1610612749,MIL,Fiserv Forum,17341,2018,2024
1610612750,MIN,Target Center,18798,1990,2024
1610612751,NJN,Meadowlands Arena,20049,1981,2010
1610612751,NJN,Prudential Center,17625,2010,2012
1610612751,BKN,Barclays Center,17732,2012,2024
1610612752,NYK,Madison Square Garden,19812,1968,2024
1610612753,ORL,Amway Arena,15077,1990,2010
1610612753,ORL,Amway Center,18846,2010,2024
1610612755,PHI,Wells Fargo Center,20478,1996,2024
1610612756,PHX,Footprint Center,16645,1992,2024
1610612757,POR,Moda Center,19393,1995,2024
1610612758,SAC,Sleep Train Arena,17317,1988,2016	
1610612758,SAC,Golden 1 Center,17608,2016,2024
1610612759,SAS,Alamodome,20662,1993,2002
1610612759,SAS,AT&T Center,18418,2002,2024
1610612760,SEA,Climate Pledge Arena,18100,2002,2008
1610612760,OKC,Paycom Center,18203,2008,2024
1610612761,TOR,Scotiabank Arena,19800,1999,2024
1610612762,UTA,Delta Center,18306,1991,2024
1610612764,WAS,US Airways Arena,19035,1996,1997
1610612764,WAS,Capital One Arena,20356,1997,2024
1610612765,DET,The Palace of Auburn Hills,22076,1988,2017
1610612765,DET,Little Caesars Arena,19515,2017,2024
1610612766,CHA,Charlotte Coliseum II,24042,1988,2005
1610612766,CHA,Spectrum Center,19077,2005,2024


